Customer ID,Customer Name,Region,Country,City,State,Postal Code
CG-12520,Claire Gute,South,United States,Henderson,Kentucky,42420
CG-12520,Claire Gute,South,United States,Henderson,Kentucky,42420
DV-13045,Darrin Van Huff,West,United States,Los Angeles,California,90036
SO-20335,Sean O'Donnell,South,United States,Fort Lauderdale,Florida,33311
SO-20335,Sean O'Donnell,South,United States,Fort Lauderdale,Florida,33311
BH-11710,Brosina Hoffman,West,United States,Los Angeles,California,90032
BH-11710,Brosina Hoffman,West,United States,Los Angeles,California,90032
BH-11710,Brosina Hoffman,West,United States,Los Angeles,California,90032
BH-11710,Brosina Hoffman,West,United States,Los Angeles,California,90032
BH-11710,Brosina Hoffman,West,United States,Los Angeles,California,90032
BH-11710,Brosina Hoffman,West,United States,Los Angeles,California,90032
BH-11710,Brosina Hoffman,West,United States,Los Angeles,California,90032
AA-10480,Andrew Allen,South,United States,Concord,North Carolina,28027
IM-15070,Irene Maddox,West,United States,Seattle,Washington,98103
HP-14815,Harold Pawlan,Central,United States,Fort Worth,Texas,76106
HP-14815,Harold Pawlan,Central,United States,Fort Worth,Texas,76106
PK-19075,Pete Kriz,Central,United States,Madison,Wisconsin,53711
AG-10270,Alejandro Grove,West,United States,West Jordan,Utah,84084
ZD-21925,Zuschuss Donatelli,West,United States,San Francisco,California,94109
ZD-21925,Zuschuss Donatelli,West,United States,San Francisco,California,94109
ZD-21925,Zuschuss Donatelli,West,United States,San Francisco,California,94109
KB-16585,Ken Black,Central,United States,Fremont,Nebraska,68025
KB-16585,Ken Black,Central,United States,Fremont,Nebraska,68025
SF-20065,Sandra Flanagan,East,United States,Philadelphia,Pennsylvania,19140
EB-13870,Emily Burns,West,United States,Orem,Utah,84057
EH-13945,Eric Hoffmann,West,United States,Los Angeles,California,90049
EH-13945,Eric Hoffmann,West,United States,Los Angeles,California,90049
TB-21520,Tracy Blumstein,East,United States,Philadelphia,Pennsylvania,19140
TB-21520,Tracy Blumstein,East,United States,Philadelphia,Pennsylvania,19140
TB-21520,Tracy Blumstein,East,United States,Philadelphia,Pennsylvania,19140
TB-21520,Tracy Blumstein,East,United States,Philadelphia,Pennsylvania,19140
TB-21520,Tracy Blumstein,East,United States,Philadelphia,Pennsylvania,19140
TB-21520,Tracy Blumstein,East,United States,Philadelphia,Pennsylvania,19140
TB-21520,Tracy Blumstein,East,United States,Philadelphia,Pennsylvania,19140
MA-17560,Matt Abelman,Central,United States,Houston,Texas,77095
GH-14485,Gene Hale,Central,United States,Richardson,Texas,75080
GH-14485,Gene Hale,Central,United States,Richardson,Texas,75080
SN-20710,Steve Nguyen,Central,United States,Houston,Texas,77041
SN-20710,Steve Nguyen,Central,United States,Houston,Texas,77041
SN-20710,Steve Nguyen,Central,United States,Houston,Texas,77041
SN-20710,Steve Nguyen,Central,United States,Houston,Texas,77041
LC-16930,Linda Cazamias,Central,United States,Naperville,Illinois,60540
RA-19885,Ruben Ausman,West,United States,Los Angeles,California,90049
ES-14080,Erin Smith,South,United States,Melbourne,Florida,32935
ON-18715,Odella Nelson,Central,United States,Eagan,Minnesota,55122
ON-18715,Odella Nelson,Central,United States,Eagan,Minnesota,55122
PO-18865,Patrick O'Donnell,Central,United States,Westland,Michigan,48185
LH-16900,Lena Hernandez,East,United States,Dover,Delaware,19901
LH-16900,Lena Hernandez,East,United States,Dover,Delaware,19901
DP-13000,Darren Powers,Central,United States,New Albany,Indiana,47150
DP-13000,Darren Powers,Central,United States,New Albany,Indiana,47150
DP-13000,Darren Powers,Central,United States,New Albany,Indiana,47150
DP-13000,Darren Powers,Central,United States,New Albany,Indiana,47150
JM-15265,Janet Molinari,East,United States,New York City,New York,10024
JM-15265,Janet Molinari,East,United States,New York City,New York,10024
TB-21055,Ted Butterfield,East,United States,Troy,New York,12180
TB-21055,Ted Butterfield,East,United States,Troy,New York,12180
TB-21055,Ted Butterfield,East,United States,Troy,New York,12180
TB-21055,Ted Butterfield,East,United States,Troy,New York,12180
TB-21055,Ted Butterfield,East,United States,Troy,New York,12180
TB-21055,Ted Butterfield,East,United States,Troy,New York,12180
TB-21055,Ted Butterfield,East,United States,Troy,New York,12180
KM-16720,Kunst Miller,West,United States,Los Angeles,California,90004
KM-16720,Kunst Miller,West,United States,Los Angeles,California,90004
KM-16720,Kunst Miller,West,United States,Los Angeles,California,90004
KM-16720,Kunst Miller,West,United States,Los Angeles,California,90004
PS-18970,Paul Stevenson,Central,United States,Chicago,Illinois,60610
BS-11590,Brendan Sweed,West,United States,Gilbert,Arizona,85234
BS-11590,Brendan Sweed,West,United States,Gilbert,Arizona,85234
KD-16270,Karen Daniels,South,United States,Springfield,Virginia,22153
HM-14980,Henry MacAllister,East,United States,New York City,New York,10009
TB-21520,Tracy Blumstein,Central,United States,Jackson,Michigan,49201
JE-15745,Joel Eaton,South,United States,Memphis,Tennessee,38109
JE-15745,Joel Eaton,South,United States,Memphis,Tennessee,38109
JE-15745,Joel Eaton,South,United States,Memphis,Tennessee,38109
KB-16600,Ken Brennan,Central,United States,Houston,Texas,77041
KB-16600,Ken Brennan,Central,United States,Houston,Texas,77041
KB-16600,Ken Brennan,Central,United States,Houston,Texas,77041
JE-15745,Joel Eaton,Central,United States,Houston,Texas,77070
SC-20770,Stewart Carmichael,South,United States,Decatur,Alabama,35601
SC-20770,Stewart Carmichael,South,United States,Decatur,Alabama,35601
DN-13690,Duane Noonan,West,United States,San Francisco,California,94122
DN-13690,Duane Noonan,West,United States,San Francisco,California,94122
JC-16105,Julie Creighton,South,United States,Durham,North Carolina,27707
CS-12400,Christopher Schild,Central,United States,Chicago,Illinois,60623
PO-18865,Patrick O'Donnell,South,United States,Columbia,South Carolina,29203
PG-18895,Paul Gonzalez,Central,United States,Rochester,Minnesota,55901
PG-18895,Paul Gonzalez,Central,United States,Rochester,Minnesota,55901
GM-14455,Gary Mitchum,Central,United States,Houston,Texas,77095
JS-15685,Jim Sink,West,United States,Los Angeles,California,90036
JS-15685,Jim Sink,West,United States,Los Angeles,California,90036
JS-15685,Jim Sink,West,United States,Los Angeles,California,90036
KB-16315,Karl Braun,Central,United States,Minneapolis,Minnesota,55407
KB-16315,Karl Braun,Central,United States,Minneapolis,Minnesota,55407
KB-16315,Karl Braun,Central,United States,Minneapolis,Minnesota,55407
RB-19705,Roger Barcio,West,United States,Portland,Oregon,97206
PN-18775,Parhena Norris,East,United States,New York City,New York,10009
KD-16345,Katherine Ducich,West,United States,San Francisco,California,94122
ER-13855,Elpida Rittenbach,Central,United States,Saint Paul,Minnesota,55106
RB-19465,Rick Bensley,Central,United States,Chicago,Illinois,60610
RB-19465,Rick Bensley,Central,United States,Chicago,Illinois,60610
RB-19465,Rick Bensley,Central,United States,Chicago,Illinois,60610
GZ-14470,Gary Zandusky,Central,United States,Rochester,Minnesota,55901
LC-16870,Lena Cacioppo,West,United States,Aurora,Colorado,80013
LC-16870,Lena Cacioppo,West,United States,Aurora,Colorado,80013
LC-16870,Lena Cacioppo,West,United States,Aurora,Colorado,80013
JM-15250,Janet Martin,South,United States,Charlotte,North Carolina,28205
JM-15250,Janet Martin,South,United States,Charlotte,North Carolina,28205
JM-15250,Janet Martin,South,United States,Charlotte,North Carolina,28205
PA-19060,Pete Armstrong,Central,United States,Orland Park,Illinois,60462
CV-12805,Cynthia Voltz,East,United States,New York City,New York,10035
CL-12565,Clay Ludtke,Central,United States,Urbandale,Iowa,50322
CL-12565,Clay Ludtke,Central,United States,Urbandale,Iowa,50322
RC-19960,Ryan Crowe,East,United States,Columbus,Ohio,43229
RC-19960,Ryan Crowe,East,United States,Columbus,Ohio,43229
RC-19960,Ryan Crowe,East,United States,Columbus,Ohio,43229
RC-19960,Ryan Crowe,East,United States,Columbus,Ohio,43229
DK-13090,Dave Kipp,West,United States,Seattle,Washington,98103
GG-14650,Greg Guthrie,South,United States,Bristol,Tennessee,37620
SC-20725,Steven Cartwright,East,United States,Wilmington,Delaware,19805
SC-20725,Steven Cartwright,East,United States,Wilmington,Delaware,19805
SC-20725,Steven Cartwright,East,United States,Wilmington,Delaware,19805
SC-20725,Steven Cartwright,East,United States,Wilmington,Delaware,19805
SC-20725,Steven Cartwright,East,United States,Wilmington,Delaware,19805
AD-10180,Alan Dominguez,Central,United States,Houston,Texas,77041
PF-19165,Philip Fox,Central,United States,Bloomington,Illinois,61701
TS-21610,Troy Staebel,West,United States,Phoenix,Arizona,85023
TS-21610,Troy Staebel,West,United States,Phoenix,Arizona,85023
LS-16975,Lindsay Shagiari,West,United States,Los Angeles,California,90004
LS-16975,Lindsay Shagiari,West,United States,Los Angeles,California,90004
DW-13585,Dorothy Wardle,East,United States,Columbus,Ohio,43229
DW-13585,Dorothy Wardle,East,United States,Columbus,Ohio,43229
